sample_name,sample,compound,dose,replicate
MCF7_AZD_0p1uM-1,MCF7,AZD,0p1uM,1
MCF7_AZD_0p1uM-2,MCF7,AZD,0p1uM,2
MCF7_AZD_0p1uM-3,MCF7,AZD,0p1uM,3
MCF7_AZD_10uM-1,MCF7,AZD,10uM,1
MCF7_AZD_10uM-2,MCF7,AZD,10uM,2
MCF7_AZD_10uM-3,MCF7,AZD,10uM,3
MCF7_AZD_1uM-1,MCF7,AZD,1uM,1
MCF7_AZD_1uM-2,MCF7,AZD,1uM,2
MCF7_AZD_1uM-3,MCF7,AZD,1uM,3
MCF7_DACTO_0p1uM-1,MCF7,DACTO,0p1uM,1
MCF7_DACTO_0p1uM-2,MCF7,DACTO,0p1uM,2
MCF7_DACTO_0p1uM-3,MCF7,DACTO,0p1uM,3
MCF7_DACTO_10uM-1,MCF7,DACTO,10uM,1
MCF7_DACTO_10uM-2,MCF7,DACTO,10uM,2
MCF7_DACTO_10uM-3,MCF7,DACTO,10uM,3
MCF7_DACTO_1uM-1,MCF7,DACTO,1uM,1
MCF7_DACTO_1uM-2,MCF7,DACTO,1uM,2
MCF7_DACTO_1uM-3,MCF7,DACTO,1uM,3
MCF7_DMSO1-1,MCF7,DMSO1,,1
MCF7_DMSO1-2,MCF7,DMSO1,,2
MCF7_DMSO1-3,MCF7,DMSO1,,3
MCF7_DMSO1-4,MCF7,DMSO1,,4
MCF7_DMSO1-5,MCF7,DMSO1,,5
MCF7_DMSO1-6,MCF7,DMSO1,,6
MCF7_DMSO2-1,MCF7,DMSO2,,1
MCF7_DMSO2-2,MCF7,DMSO2,,2
MCF7_DMSO2-3,MCF7,DMSO2,,3
MCF7_DMSO2-4,MCF7,DMSO2,,4
MCF7_DMSO2-5,MCF7,DMSO2,,5
MCF7_DMSO2-6,MCF7,DMSO2,,6
MCF7_EVE_0p1uM-1,MCF7,EVE,0p1uM,1
MCF7_EVE_0p1uM-2,MCF7,EVE,0p1uM,2
MCF7_EVE_0p1uM-3,MCF7,EVE,0p1uM,3
MCF7_EVE_10uM-1,MCF7,EVE,10uM,1
MCF7_EVE_10uM-2,MCF7,EVE,10uM,2
MCF7_EVE_10uM-3,MCF7,EVE,10uM,3
MCF7_EVE_1uM-1,MCF7,EVE,1uM,1
MCF7_EVE_1uM-2,MCF7,EVE,1uM,2
MCF7_EVE_1uM-3,MCF7,EVE,1uM,3
MCF7_KU_0p1uM-1,MCF7,KU,0p1uM,1
MCF7_KU_0p1uM-2,MCF7,KU,0p1uM,2
MCF7_KU_0p1uM-3,MCF7,KU,0p1uM,3
MCF7_KU_10uM-1,MCF7,KU,10uM,1
MCF7_KU_10uM-2,MCF7,KU,10uM,2
MCF7_KU_10uM-3,MCF7,KU,10uM,3
MCF7_KU_1uM-1,MCF7,KU,1uM,1
MCF7_KU_1uM-2,MCF7,KU,1uM,2
MCF7_KU_1uM-3,MCF7,KU,1uM,3
MCF7_LY_0p1uM-1,MCF7,LY,0p1uM,1
MCF7_LY_0p1uM-2,MCF7,LY,0p1uM,2
MCF7_LY_0p1uM-3,MCF7,LY,0p1uM,3
MCF7_LY_10uM-1,MCF7,LY,10uM,1
MCF7_LY_10uM-2,MCF7,LY,10uM,2
MCF7_LY_10uM-3,MCF7,LY,10uM,3
MCF7_LY_1uM-1,MCF7,LY,1uM,1
