,sample_name,sample,compound,dose,replicate
0,MCF7_AZD_0p1uM-1,MCF7,AZD,0.1,1
1,MCF7_AZD_0p1uM-2,MCF7,AZD,0.1,2
2,MCF7_AZD_0p1uM-3,MCF7,AZD,0.1,3
3,MCF7_AZD_10uM-1,MCF7,AZD,10.0,1
4,MCF7_AZD_10uM-2,MCF7,AZD,10.0,2
5,MCF7_AZD_10uM-3,MCF7,AZD,10.0,3
6,MCF7_AZD_1uM-1,MCF7,AZD,1.0,1
7,MCF7_AZD_1uM-2,MCF7,AZD,1.0,2
8,MCF7_AZD_1uM-3,MCF7,AZD,1.0,3
9,MCF7_DACTO_0p1uM-1,MCF7,DACTO,0.1,1
10,MCF7_DACTO_0p1uM-2,MCF7,DACTO,0.1,2
11,MCF7_DACTO_0p1uM-3,MCF7,DACTO,0.1,3
12,MCF7_DACTO_10uM-1,MCF7,DACTO,10.0,1
13,MCF7_DACTO_10uM-2,MCF7,DACTO,10.0,2
14,MCF7_DACTO_10uM-3,MCF7,DACTO,10.0,3
15,MCF7_DACTO_1uM-1,MCF7,DACTO,1.0,1
16,MCF7_DACTO_1uM-2,MCF7,DACTO,1.0,2
17,MCF7_DACTO_1uM-3,MCF7,DACTO,1.0,3
18,MCF7_DMSO1-1,MCF7,DMSO1,,1
19,MCF7_DMSO1-2,MCF7,DMSO1,,2
20,MCF7_DMSO1-3,MCF7,DMSO1,,3
21,MCF7_DMSO1-4,MCF7,DMSO1,,4
22,MCF7_DMSO1-5,MCF7,DMSO1,,5
23,MCF7_DMSO1-6,MCF7,DMSO1,,6
24,MCF7_DMSO2-1,MCF7,DMSO2,,1
25,MCF7_DMSO2-2,MCF7,DMSO2,,2
26,MCF7_DMSO2-3,MCF7,DMSO2,,3
27,MCF7_DMSO2-4,MCF7,DMSO2,,4
28,MCF7_DMSO2-5,MCF7,DMSO2,,5
29,MCF7_DMSO2-6,MCF7,DMSO2,,6
30,MCF7_EVE_0p1uM-1,MCF7,EVE,0.1,1
31,MCF7_EVE_0p1uM-2,MCF7,EVE,0.1,2
32,MCF7_EVE_0p1uM-3,MCF7,EVE,0.1,3
33,MCF7_EVE_10uM-1,MCF7,EVE,10.0,1
34,MCF7_EVE_10uM-2,MCF7,EVE,10.0,2
35,MCF7_EVE_10uM-3,MCF7,EVE,10.0,3
36,MCF7_EVE_1uM-1,MCF7,EVE,1.0,1
37,MCF7_EVE_1uM-2,MCF7,EVE,1.0,2
38,MCF7_EVE_1uM-3,MCF7,EVE,1.0,3
39,MCF7_KU_0p1uM-1,MCF7,KU,0.1,1
40,MCF7_KU_0p1uM-2,MCF7,KU,0.1,2
41,MCF7_KU_0p1uM-3,MCF7,KU,0.1,3
42,MCF7_KU_10uM-1,MCF7,KU,10.0,1
43,MCF7_KU_10uM-2,MCF7,KU,10.0,2
44,MCF7_KU_10uM-3,MCF7,KU,10.0,3
45,MCF7_KU_1uM-1,MCF7,KU,1.0,1
46,MCF7_KU_1uM-2,MCF7,KU,1.0,2
47,MCF7_KU_1uM-3,MCF7,KU,1.0,3
48,MCF7_LY_0p1uM-1,MCF7,LY,0.1,1
49,MCF7_LY_0p1uM-2,MCF7,LY,0.1,2
50,MCF7_LY_0p1uM-3,MCF7,LY,0.1,3
51,MCF7_LY_10uM-1,MCF7,LY,10.0,1
52,MCF7_LY_10uM-2,MCF7,LY,10.0,2
53,MCF7_LY_10uM-3,MCF7,LY,10.0,3
54,MCF7_LY_1uM-1,MCF7,LY,1.0,1
55,MCF7_LY_1uM-2,MCF7,LY,1.0,2
56,MCF7_LY_1uM-3,MCF7,LY,1.0,3
57,MCF7_OSI_0p1uM-1,MCF7,OSI,0.1,1
58,MCF7_OSI_0p1uM-2,MCF7,OSI,0.1,2
59,MCF7_OSI_0p1uM-3,MCF7,OSI,0.1,3
60,MCF7_OSI_10uM-1,MCF7,OSI,10.0,1
61,MCF7_OSI_10uM-2,MCF7,OSI,10.0,2
62,MCF7_OSI_10uM-3,MCF7,OSI,10.0,3
63,MCF7_OSI_1uM-1,MCF7,OSI,1.0,1
64,MCF7_OSI_1uM-2,MCF7,OSI,1.0,2
65,MCF7_OSI_1uM-3,MCF7,OSI,1.0,3
66,MCF7_RAPA_0p1uM-1,MCF7,RAPA,0.1,1
67,MCF7_RAPA_0p1uM-2,MCF7,RAPA,0.1,2
68,MCF7_RAPA_0p1uM-3,MCF7,RAPA,0.1,3
69,MCF7_RAPA_10uM-1,MCF7,RAPA,10.0,1
70,MCF7_RAPA_10uM-2,MCF7,RAPA,10.0,2
71,MCF7_RAPA_10uM-3,MCF7,RAPA,10.0,3
