gene,bmd,bmdl,bmdu,model,aic,pvalue,converged,error
AAGAB_23638,,,,,,,False,No valid model fit
AAMDC_12899,,,,,,,False,No valid model fit
AAMP_2,5.510551929473877,2.1930935252709696,7.103494824553337,Polynomial 2,17.237472268322346,0.5997583410952996,True,
AAR2_25893,0.4014936475894903,0.06819727683319149,2.516198378572967,Hill,59.121214274894974,0.9268979191822581,True,
AARD_13511,,,,,,,False,No valid model fit
AARS1_3,,,,,,,False,No valid model fit
AARS2_26243,,,,,,,False,No valid model fit
AATF_26432,0.9115902769179527,0.16933024604432023,9.48404853367884,Hill,39.03773119875166,0.34416247288839286,True,
ABCA10_22688,,,,,,,False,No valid model fit
ABCA2_16971,,,,,,,False,No valid model fit
ABCA7_19998,6.509376764297485,3.774457020959851,23.37737569792512,Linear,44.438046839544874,0.25383756287335324,True,
ABCB1_12,,,,,,,False,No valid model fit
ABCB7_19494,4.286141183388854,2.8275094471832416,9.860931846526812,Power,40.463657652460384,0.4572695661461801,True,
ABCB9_91680,,,,,,,False,No valid model fit
ABCB9_91718,5.831112379542699,3.5150316215481174,16.9363952907247,Power,20.732795274298454,0.11951782113979648,True,
ABCC1_15868,1.788318157196045,1.0272330566980543,2.909579598870589,Linear,7.6550920356537775,0.6114995689259628,True,
ABCC4_26789,,,,,,,False,No valid model fit
ABCC6_20229,4.8149049282073975,3.0786588551472343,10.920822060729996,Linear,46.2170656198639,0.5678339087619941,True,
ABCC8_20778,,,,,,,False,No valid model fit
ABCE1_32,5.069742202758789,3.1940176950151358,12.159246702040104,Linear,37.34939370101346,0.25389976319680585,True,
ABCF1_35,,,,,,,False,No valid model fit
ABCF2_92347,6.469675302505493,3.0820767492524275,9.117858478417936,Polynomial 2,34.402675417336894,0.3414781580423035,True,
ABCF2_92348,,,,,,,False,No valid model fit
ABHD17B_14459,,,,,,,False,No valid model fit
ABHD18_22249,,,,,,,False,No valid model fit
ABHD1_88958,4.772051572799683,3.0589204304407316,10.726741649674755,Linear,55.3893404914721,0.10973268829002614,True,
ABHD6_45,,,,,,,False,No valid model fit
ABI1_18228,5.292255878448486,2.211593809956475,6.719400471218295,Polynomial 2,2.9676568033423654,0.527598260763182,True,
ABLIM2_13870,,,,,,,False,No valid model fit
ABRACL_13071,,,,,,,False,No valid model fit
ABRAXAS1_16175,3.073837161064148,2.1757727199165866,5.156678970516031,Linear,41.18104354395486,0.2347585573003721,True,
ABT1_21258,8.041074275970459,8.021815857731497,8.069839857531054,Linear,24.511745866481878,0.30370429058662607,True,
AC093157.1_3829,,,,,,,False,No valid model fit
ACACA_90988,,,,,,,False,No valid model fit
ACACA_91463,,,,,,,False,No valid model fit
ACACA_91650,,,,,,,False,No valid model fit
ACACA_91723,0.9572696685791016,0.9224952053979594,0.9627097430248309,Linear,15.238608503918805,0.9148234448456103,True,
ACAD8_17448,,,,,,,False,No valid model fit
ACAP2_16752,,,,,,,False,No valid model fit
ACAT2_56,,,,,,,False,No valid model fit
ACER2_17896,,,,,,,False,No valid model fit
ACP6_12367,,,,,,,False,No valid model fit
ACSF2_12748,,,,,,,False,No valid model fit
ACSL3_16977,,,,,,,False,No valid model fit
ACSL4_22501,,,,,,,False,No valid model fit
ACSL5_23312,,,,,,,False,No valid model fit
ACTA2_14836,,,,,,,False,No valid model fit
ACTN1_19142,,,,,,,False,No valid model fit
ACTR1A_12784,,,,,,,False,No valid model fit
ACTR1B_21374,,,,,,,False,No valid model fit
ACTR3B_21219,,,,,,,False,No valid model fit
ADAM9_17290,,,,,,,False,No valid model fit
ADAMTS10_24127,,,,,,,False,No valid model fit
ADAMTS13_87744,,,,,,,False,No valid model fit
ADAMTS13_90224,,,,,,,False,No valid model fit
ADAMTS13_90412,,,,,,,False,No valid model fit
ADAMTS9_12161,,,,,,,False,No valid model fit
ADCK5_13567,,,,,,,False,No valid model fit
ADCY7_20085,,,,,,,False,No valid model fit
ADCY7_26803,2.826312780380249,2.0291586598203497,4.585435222988305,Linear,40.87776880871375,0.2675042776069141,True,
ADD2_22235,,,,,,,False,No valid model fit
ADD3_16935,,,,,,,False,No valid model fit
ADGRB2_18024,,,,,,,False,No valid model fit
ADGRG2_21222,,,,,,,False,No valid model fit
ADGRL1_23280,2.7576055239065216,1.9874891267156383,9.595565405864962,Power,-9.58875757173214,0.559484238570852,True,
ADIPOR2_15469,,,,,,,False,No valid model fit
ADK_139,,,,,,,False,No valid model fit
ADPRM_26057,,,,,,,False,No valid model fit
ADSS1_20985,,,,,,,False,No valid model fit
AEN_18198,2.6853346824645996,1.9422866011895419,4.278536654456924,Linear,27.986974984176364,0.9479074612686618,True,
AFDN_17939,,,,,,,False,No valid model fit
AFG1L_23517,0.2256688141628454,0.057731608640819346,0.9658285729282158,Hill,20.106978432270477,0.9353855892827769,True,
AGAP5_23961,,,,,,,False,No valid model fit
AGAP6_17408,,,,,,,False,No valid model fit
AGA_12005,,,,,,,False,No valid model fit
AGMAT_20040,,,,,,,False,No valid model fit
AGO3_90330,,,,,,,False,No valid model fit
AHCY_88959,,,,,,,False,No valid model fit
AHSA1_24801,,,,,,,False,No valid model fit
AHSA2P_23663,,,,,,,False,No valid model fit
