gene,dataset_name,dataset_dose_name,dataset_dose_units,dataset_response_name,dataset_response_units,dataset_doses,dataset_ns,dataset_stdevs,dataset_means,bmds_model_index,model_name,bmr,distribution,direction,confidence_level,tail_probability,degree,model_class,bmdl,bmd,bmdu,aic,loglikelihood,p_value1,p_value2,p_value3,p_value4,model_dof,residual_of_interest,residual_at_lowest_dose,recommended,recommendation_bin,recommendation_notes,selected
AAMP_2,AAMP_2,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.3369726455774364,0.4855082390435376,0.1875810508047867,0.3232560791155171","-0.03569372052020175,0.16808202599367428,-0.008037391021933368,-1.036652265122478",1,Polynomial 2,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,2,frequentist_restricted,2.1930935252709696,5.510551929473877,7.103494824553337,17.237472268322346,-5.618736134161173,0.0016206704080393708,0.462510297897452,0.462510297897452,0.5997583410952996,2.0,3.436122620471245e-05,-0.44178656220036827,True,Recommended - Lowest AIC,,False
AAR2_25893,AAR2_25893,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","1.0022490210735573,0.4034421381667193,0.8628179094057042,0.7607469853233818","-0.28076210552603414,-0.6017963534159569,-1.5994494622197843,-2.4343353684873983",3,Hill,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,0,frequentist_restricted,0.06819727683319149,0.4014936475894903,2.516198378572967,59.121214274894974,-25.560607137447487,0.0059462159468463005,0.24785129491044866,0.24785129491044866,0.9268979191822581,1.0,-0.07817526098199899,0.026911156447664304,True,Recommended - Lowest BMDL,BMD/BMDL ratio > 3.0,False
AATF_26432,AATF_26432,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.5124948547335316,0.20048317108142763,0.66675195304623,0.8083715986579673","-0.07607356652855136,-0.44947744263672346,-0.6183529153488591,-1.6273440479459245",3,Hill,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,0,frequentist_restricted,0.16933024604432023,0.9115902769179527,9.48404853367884,39.03773119875166,-15.518865599375829,0.0021158569707862007,0.2006028301363021,0.2006028301363021,0.34416247288839286,1.0,0.17200849266226043,0.3496471074291392,True,Recommended - Lowest BMDL,BMD/BMDL ratio > 3.0,False
ABCA7_19998,ABCA7_19998,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.6924483120838001,0.2149536335541058,0.7150862309092186,0.4121460813029687","-0.16844711971565596,-0.5341427666091149,-0.833279572720309,-1.1994910539109176",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,3.774457020959851,6.509376764297485,23.37737569792512,44.438046839544874,-19.219023419772437,0.028379930400428632,0.10368380368683316,0.10368380368683316,0.25383756287335324,2.0,0.12772745883972753,0.8444909869421017,True,Recommended - Lowest AIC,,False
ABCB7_19494,ABCB7_19494,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.6466262482314944,0.38867548583356415,0.35647916643668814,0.6059253057702889","-0.1289351849923867,-0.1083353967206274,0.42568618835967875,1.1846320014293512",2,Power,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,0,frequentist_restricted,2.8275094471832416,4.286141183388854,9.860931846526812,40.463657652460384,-17.231828826230192,0.017439767216473334,0.3441489454354151,0.3441489454354151,0.4572695661461801,2.0,1.1340428790524313,-0.4187938398678477,True,Recommended - Lowest AIC,,False
ABCB9_91718,ABCB9_91718,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.30842586576419856,0.28047799841433413,0.6119857495462291,0.1908869954814992","-0.030921636633917657,-0.4581700854697332,-0.2791976484512092,-0.7078239194455432",2,Power,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,0,frequentist_restricted,3.5150316215481174,5.831112379542699,16.9363952907247,20.732795274298454,-7.366397637149228,0.02120646585014052,0.22863501987178114,0.22863501987178114,0.11951782113979648,2.0,0.06136544993389785,1.005578266015389,True,Recommended - Lowest AIC,,False
ABCC1_15868,ABCC1_15868,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.21003226228423066,0.12146839567146854,0.24531018918688552,0.7113753870732934","-0.013514627345255043,0.14942288813254567,-0.26064918960250366,-1.0555378297896236",0,Linear,1.0 Standard Deviation,Normal + Nonconstant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,1.0272330566980543,1.788318157196045,2.909579598870589,7.6550920356537775,0.17245398217311125,8.438923265963183e-06,0.008046623233895156,0.1139209454252047,0.6114995689259628,2.0,-1.0533941281133152,-0.6632473778865834,True,Recommended - Lowest AIC,,False
ABCC6_20229,ABCC6_20229,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.6033201424480642,0.45557421529362124,1.179769428988595,0.5937241189734203","-0.11250837490392092,0.3172242030540096,0.00959702126873685,1.2697263875381364",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,1,frequentist_unrestricted,3.0786588551472343,4.8149049282073975,10.920822060729996,46.2170656198639,-20.10853280993195,0.04295525010838952,0.3670531897649353,0.3670531897649353,0.5678339087619941,2.0,-0.21294354274872165,-0.37740523189771474,True,Recommended - Lowest AIC,,False
ABCE1_32,ABCE1_32,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.5388685828569265,0.20867663863069913,0.501603783671745,0.7130852854698719","-0.08611933198739713,0.15176114730825827,-0.592210692131625,-1.0773532285535972",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,3.1940176950151358,5.069742202758789,12.159246702040104,37.34939370101346,-15.67469685050673,0.021412039452906484,0.2493231692515765,0.2493231692515765,0.25389976319680585,2.0,-1.3069317744351971,0.13758148943566326,True,Recommended - Lowest AIC,,False
ABCF2_92347,ABCF2_92347,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.5203374675366321,0.2497765959241389,0.38068828239290037,0.6706026829269089","-0.08296187921864256,0.1443131652472008,0.31904290875490243,-1.116584251925411",1,Polynomial 2,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,2,frequentist_restricted,3.0820767492524275,6.469675302505493,9.117858478417936,34.402675417336894,-14.201337708668447,0.010062736352463353,0.3149024998261507,0.3149024998261507,0.3414781580423035,2.0,-0.011222258278505993,-0.7737219624345327,True,Recommended - Lowest AIC,,False
