Gene_Symbol,log2FoldChange
ABCF1,-0.534531769833587
AGL,1.01761546990753
AIFM1,-1.1382711374555
ALG8,-1.98480316286555
AMD1,-1.30240017482415
AMDHD2,1.12116654754941
ANAPC5,-0.474222878646736
ANKRD10,0.894358682422911
APOO,-0.666083086883514
APPBP2,0.67337132008321
ARL6IP5,0.478960330516206
ARPC5L,-0.719711042546068
ATP10D,1.01339499629921
PTCD1,-5.40998360390043
AURKA,-1.14134176800152
AURKB,-0.971010607458489
B4GALT7,1.08264517259142
BCL2L11,0.940103703293576
BLM,-0.947465733747254
BUB1B,-2.47678280465248
TIGAR,-1.84674361271812
C2CD5,0.910173948048664
CBR3,-0.874416975286992
CBX6,0.726894449869637
CCNB1,-1.22213626751447
CCNB1IP1,1.43284899585926
CCNDBP1,0.847008797826038
CCNE2,-1.47343236422386
CCNF,-1.53542062188659
CCNL1,0.822268913813851
CCNL2,0.713076189558821
CCRL2,1.11732552345516
CD55,0.702624768196513
CD58,0.73918217918134
ADGRE5,0.364845542390733
CDC25A,-1.40463154000367
CDC5L,-0.521128426503102
CDC6,-1.81520871848513
CDCA5,-1.03695298329376
CDCA8,-1.01260891255439
CDK1,-1.00140445949384
CDK19,0.562959526088803
CDK2,-1.25859036705029
CENPF,-1.10048505276607
CHD1L,-0.818636075889795
CHMP4A,0.800419497823922
CKAP5,-0.829258686930438
CKS1B,-0.661359590076539
CLTB,-0.967937039795213
COG2,0.397403211351298
CERT1,0.507899424032085
COPE,-0.858935495479339
CPSF4,-0.902091392000662
CRELD2,-1.76488248473404
CRYZ,1.32759575978617
CSNK1G2,-0.908125629939067
CTSA,0.856879101616859
CTSH,1.59684782089933
CTSL,0.800310715463556
CTSL,0.908112653577485
DAG1,-0.556860737074518
DDIT3,0.878009382530958
DDR1,2.2152589473397
DEK,-0.916379104067152
DHDDS,0.89373361802584
DLGAP5,-0.847692298800722
DNMT1,-1.71295873811393
DOLPP1,-6.63072988677129
DSN1,-1.023167911059
DUSP3,1.14990983727499
EGFR,0.748427949548326
EIF3E,0.658948887853533
EPB41L2,-1.63330181171516
EPB41L4A-AS1,1.47310439938905
EVL,-0.901595184346039
EZH2,-1.7684093704297
FAM20B,-1.54574840528887
FANCI,-1.04705249110404
FAU,0.532657325299349
FEN1,-1.8828479940477
DUXAP9,2.08151922389715
FN1,0.678186767612737
FOXO4,1.08792493701864
G0S2,-1.01503580092746
G3BP2,-0.934758915909405
GABBR1,1.05820914492129
GABPB1,-0.839126361284637
GATA2,-5.50023263007359
GATAD1,0.586890929406302
GCLM,-0.707652638944974
GGH,-1.09632486794886
GLOD4,-5.25894722904183
GLRX,0.937291123323142
GNE,0.666446127944977
GNS,0.832388118704948
GPATCH8,0.947486410184219
GPSM3,1.16847980633461
H2AX,-1.34458220285496
HAT1,-1.47594878150535
HEIH,0.749883378778806
HEXA,1.09754567776796
EPB41L4A-AS1,1.22161775044083
H1-2,-1.27554194486236
H2BC14,-2.01385184107032
H3C10,-1.39709001581078
H4C12,-1.30775186361434
H2AC19,-1.20672068346789
HJURP,-1.08495755664685
HLA-E,1.00471472911056
HMGA2,0.489582278316819
HMGB1,-5.87594891956201
HMGCR,0.652604771060398
HMOX1,0.950739588913397
HNRNPF,0.678931552714898
HRAS,-5.42259404971103
HSP90AA1,-0.734214633636749
HSPA4,-0.544620153540792
HYOU1,-1.68575990115453
ICMT,-6.45604951048074
IER3,0.536287784314903
IFRD2,-1.37216545507063
IGF1R,0.653123734759432
ILKAP,-0.949215839555593
IMPDH2,0.671926469619089
INSIG1,0.510457963647912
ITM2B,1.35776393179142
KAT6B,0.918350274503933
KATNA1,-0.911388080044275
KHSRP,-0.429740376823965
KIAA0100,-0.632567130963106
TMEM131L,0.859400556865395
KIAA1109,0.847731300030473
KIF15,-1.43343682231954
KIF18B,-1.92449244853022
KIF20A,-1.31305002481602
KLF6,0.576259283551025
KNSTRN,-1.06694887055007
LAMC2,0.633472068079061
LAPTM4A,0.926228098671716
LCP1,1.14419889540314
LIG1,-1.09151325585822
LRRC41,1.08306492301118
LSM1,-0.97188193124774
MAD2L1BP,-5.6013158193332
MAP1LC3B,-5.17846763172765
MARS1,-6.30258057216129
MASTL,-1.5997129224676
MBOAT7,-2.22133010351497
MCM10,-1.7380473618451
MCM3,-0.860755258775185
MCM4,-1.50949618254319
MCM7,-0.784861451639262
MCOLN1,0.928426583496302
MCTP1,1.02189929726028
MCUR1,-0.807016341320264
METTL2A,-6.08386595385957
MMP1,1.20407830307196
MMP3,6.97302830925376
MOCS3,0.705902853267146
MTFR1,-0.898863247816008
MYBL2,-2.23324968023003
NCAPG2,-6.97910823381195
NCAPH,-1.86977951428057
NDC1,-1.24670418660094
NDUFB5,-7.30059789278459
NDUFS6,-0.877958961181323
NES,-5.58469195726227
NEU1,1.18307381360878
NISCH,0.65666070904224
NME1,-0.713237510472687
NOL3,0.705269933589808
NPC1,1.29227756143258
NPLOC4,-0.555690162826886
NRP1,0.437430635030278
NSUN2,-0.635347285800705
NT5E,0.801935849017422
NUDCD3,-0.678060846794186
NUDT21,-0.756161313874656
NUDT5,-5.22768291485685
NUP35,-0.913688187415077
NUSAP1,-0.840744847215121
OAT,0.66036289492162
ODC1,-1.33467100616001
ORC6,-1.29826129555273
PANK1,-5.64994970079792
PARP1,-1.43256681855809
PCDHGC4,0.743014688397377
PDIA6,-1.22136969305574
PGAM1,-1.51129124655293
PGF,1.09057276123129
PKMYT1,-1.55582654700626
PLSCR3,0.819666804976023
PMS2,0.76452320024186
POLR2K,-0.540784103469271
POR,0.495478457337337
PPP2R5A,1.04208441229035
PRDX4,-1.03898368747326
PSMB3,0.996922870799625
PSMD11,-0.634120442182675
PSMD14,-1.10764936331245
PSME3,-1.38682744196446
PSRC1,-1.30784365280883
PUF60,-0.88025533280438
RAB27A,-0.585014144866318
RAB31,1.08782113665716
RAD21,-0.902381351911716
RAD51C,-1.43837094000833
RAE1,-0.680186204265156
RASSF1,-1.00941212178252
RBMX,-6.65359676144134
RETSAT,0.819470064215449
RFC3,-0.897658402521354
RFC4,-1.76280291004522
RFX5,-1.09899240434858
RNASEH2A,-0.56069031665374
RNMT,1.23936636921116
RPS4X,0.613985536531264
RRM1,-1.55435760779022
RRM2,-2.04918678720853
