,MDA_DACTO_1uM-1,MDA_DACTO_1uM-2,MDA_DACTO_1uM-3,MDA_DMSO1-1,MDA_DMSO1-2,MDA_DMSO1-3,MDA_DMSO1-4,MDA_DMSO1-5,MDA_DMSO1-6,MDA_DMSO2-1,MDA_DMSO2-2,MDA_DMSO2-3,MDA_DMSO2-4,MDA_DMSO2-5,MDA_DMSO2-6
A2M_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAMP_2,315,217,214,308,322,330,338,279,286,312,275,327,292,305,380
AARS1_3,175,93,100,238,272,244,239,216,102,128,131,226,192,123,104
AATF_4,36,18,32,55,37,48,51,15,31,17,16,11,43,26,29
ABCB1_12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ABCC2_22,4,7,8,7,10,14,6,12,9,7,4,1,7,3,9
ABCC5_26,518,149,571,375,629,597,321,362,184,164,169,173,290,190,187
ABCE1_32,21,48,30,37,55,51,81,81,69,110,86,65,39,84,68
ABCF1_35,315,483,516,834,930,932,1455,1220,972,664,746,833,488,721,726
ABCF3_36,63,32,40,47,92,112,87,62,55,29,43,39,64,53,36
ABCG1_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC3_38,19,14,11,17,11,8,6,11,4,9,9,5,11,1,7
ABCG2_39,96,53,99,90,106,80,103,49,71,56,59,60,71,76,76
ABCG2_40,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ABCG2_41,40,27,55,32,61,52,39,39,41,18,25,20,31,30,39
ABHD6_45,105,73,107,129,206,178,138,130,99,88,77,77,92,105,109
ABL1_46,2,13,10,6,11,18,33,32,16,20,14,14,5,9,13
ACADL_49,1,0,0,2,1,1,0,4,6,1,2,2,2,7,1
ACAT2_56,29,106,98,139,92,113,271,169,182,214,157,209,81,234,209
ACBD3_59,68,111,99,151,135,158,188,169,205,116,153,129,81,116,117
ACD_60,15,20,24,29,26,22,48,48,44,19,23,37,12,26,28
ACE_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACHE_63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ACLY_66,63,247,117,142,95,159,445,372,553,341,230,273,78,320,310
ACOT9_69,3,13,6,9,7,5,8,19,11,21,9,10,6,6,14
ACSL1_75,7,31,6,21,15,23,53,40,46,43,35,24,18,40,36
ACTB_80,655,1540,586,1924,1429,1570,3238,2498,2181,2526,2039,2515,827,2213,1963
ACTBP9_82,0,8,5,3,1,2,3,4,4,5,1,3,1,4,2
ACTN2_90,1,0,0,1,3,1,5,0,2,1,0,0,0,0,0
ACTR10_93,62,189,213,116,130,113,254,277,289,195,157,151,79,193,157
ADAM10_102,1486,916,1125,1006,1970,2100,1321,1681,2768,843,797,572,855,1207,1147
ADAM23_104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS2_106,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ADARB1_112,63,82,41,91,133,127,209,206,161,90,106,61,34,71,101
ADAT1_113,5,5,5,7,10,10,11,17,4,6,10,15,1,0,3
COQ8A_114,69,176,121,66,88,108,176,224,166,121,135,105,54,99,87
ADCY8_120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY9_121,3,5,1,6,4,5,6,5,2,4,7,6,1,6,5
ADH1A_126,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ADI1_135,42,126,79,140,98,124,360,243,219,220,228,265,70,240,191
ADK_139,316,422,458,559,665,746,1021,951,700,479,483,455,365,570,525
ADM_140,39,47,55,53,68,85,104,77,77,99,85,85,41,92,58
ADO_144,117,169,158,106,171,274,305,396,326,164,150,152,116,190,179
ADORA1_145,0,0,0,9,1,2,1,2,8,4,2,4,1,3,0
ADORA2A_146,1,0,1,1,1,1,2,1,2,3,0,1,1,1,1
ADRA1A_148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRB2_151,86,93,19,105,61,59,100,89,114,142,158,169,76,132,138
GRK2_152,78,91,93,105,139,119,138,166,102,131,85,130,95,112,107
ADSL_153,1,8,4,4,1,2,9,10,0,5,12,3,9,4,7
AFAP1L2_156,309,100,152,207,327,278,175,156,127,143,153,168,187,125,154
AFMID_157,107,112,148,104,89,92,184,175,159,119,117,139,74,107,139
AFP_158,0,0,0,1,0,3,1,1,0,0,2,2,0,0,1
AGL_162,102,117,214,93,109,82,169,131,114,85,109,80,42,90,85
AGPAT2_163,85,163,133,136,138,118,272,207,237,151,156,152,77,127,126
GPAT3_164,1,2,0,4,3,5,6,2,3,7,6,4,0,3,1
AGRN_165,299,281,173,348,738,895,825,1132,1029,273,240,163,204,238,269
AGT_168,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AGTR1_171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AGTRAP_173,31,81,20,29,19,25,63,60,97,68,39,36,6,38,27
