"","MDA_DACTO_1uM-1","MDA_DACTO_1uM-2","MDA_DACTO_1uM-3","MDA_DMSO1-1","MDA_DMSO1-2","MDA_DMSO1-3","MDA_DMSO1-4","MDA_DMSO1-5","MDA_DMSO1-6","MDA_DMSO2-1","MDA_DMSO2-2","MDA_DMSO2-3","MDA_DMSO2-4","MDA_DMSO2-5","MDA_DMSO2-6"
"A2M_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAMP_2",423.664751154097,253.639341247054,270.333541756191,307.443520879239,275.962865954352,259.87868906739,219.348745563408,184.398198025372,219.193001198837,322.613845596007,292.590069977721,365.218856497065,418.070957180414,320.402053539305,407.356123326374
"AARS1_3",235.36930619672,108.702574820166,126.3240849328,237.569993406685,233.111489253366,192.15272767407,155.101627780043,142.75989524545,78.1737277002846,132.354398193234,139.379269698478,252.414255560663,274.895971844656,129.211319951916,111.486939015639
"AATF_4",48.4188287033253,21.0392080297096,40.4237071784959,54.9006287284355,31.7100187587299,37.8005365916203,33.0970000702184,9.91388161426733,23.7586819481257,17.5783185100388,17.0234222532493,12.2856496069349,61.5652436943761,27.3129619410555,31.0877041485917
"ABCB1_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC2_22",0,0,0,0,8.57027534019727,11.0251565058893,0,7.93110529141386,0,0,0,0,0,0,0
"ABCC5_26",696.693146342292,174.157888690374,721.310524966286,374.322468602969,539.070318898408,470.144173858278,208.316412206669,239.255009624318,141.019273498553,169.579072685081,179.809897549945,193.219761999977,415.207457473699,199.594721876944,200.462092268505
"ABCE1_32",28.2443167436064,56.1045547458922,37.8972254798399,36.933150235493,47.136514371085,40.1630701285966,52.5658236409352,53.5349607170436,52.8822275619572,113.74206094731,91.5008946112147,72.5970204046155,55.8382442809457,88.2418770403331,72.8953062794563
"ABCF1_35",423.664751154097,564.552082130541,651.832278253246,832.493170173004,797.035606638346,733.960418820628,944.237943179761,806.329037960409,744.949640438006,686.588440627399,793.717062557746,930.358738416072,698.693928438501,757.409444596192,778.264593513019
"ABCF3_36",84.7329502308193,37.4030364972615,50.5296339731199,46.9150827315722,78.8465331298149,88.2012520471141,56.4595883550785,40.9773773389716,42.1525002305456,29.9865433406545,45.7504473056074,43.5582122427693,91.6319906148853,55.6764224183054,38.5916327361828
"ABCG1_37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC3_38",25.5543818156439,16.3638284675519,13.895649342608,16.9692852433346,9.42730287421699,0,0,7.27017985046271,0,0,0,0,15.7492483869334,0,0
"ABCG2_39",129.116876542201,61.9487791985893,125.060844083472,89.8373924647127,90.844918606091,63.0008943193672,66.8429609261274,32.3853466066066,54.4150457521589,57.9050492095397,62.7738695588566,67.012634219645,101.654239588388,79.8378887507775,81.4712246652747
"ABCG2_40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG2_41",53.7986985592504,31.5588120445644,69.4782467130398,31.9421839874534,52.2786795752033,40.9505813075887,25.3094706419317,25.776092197095,31.422772899134,18.6123372459235,26.599097270702,22.3375447398817,44.3842454540851,31.5149560858332,41.8076021308647
"ABHD6_45",141.221583718032,85.3256770093778,135.166770878096,128.766929199421,176.547672008064,140.176989860592,89.5565884252969,85.9203073236502,75.8745004149821,90.9936487578481,81.925219593762,85.9995472485445,131.720986508898,110.302346300416,116.846888006776
"ABL1_46",0,15.1949835770125,12.63240849328,0,9.42730287421699,14.1752012218576,21.4157059277884,21.149614110437,12.2625455216133,20.6803747176928,14.8954944715931,15.6362813179172,0,0,13.9358673769549
"ACADL_49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
