,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
8,ABCF1_35,742.939142459798,-0.5345317698335871,0.131620805439961,-4.0611495123954,4.88316852521216e-05,0.00114186956973339
52,AGL_162,107.84910255467,1.0176154699075302,0.23758446541898,4.28317343102787,1.8424644492139102e-05,0.000508755396210599
59,AIFM1_183,131.399964141432,-1.1382711374555001,0.293323268678968,-3.88060293539581,0.000104197833256178,0.00202437047903994
81,ALG8_238,21.403781764663602,-1.98480316286555,0.717762952241503,-2.76526276073069,0.005687696016982871,0.0423980005217712
83,AMD1_247,144.77962154748502,-1.3024001748241498,0.367581104809619,-3.54316410115449,0.000395356603907802,0.00589085878934036
84,AMDHD2_248,110.254039665956,1.12116654754941,0.3667834716713139,3.05675319130552,0.0022374842496256197,0.021621794930485
90,ANAPC5_271,218.83575089718602,-0.474222878646736,0.16025694529706902,-2.95914088320895,0.00308498030686727,0.0273475918186635
91,ANKRD10_277,1238.75826759286,0.8943586824229109,0.304126055656464,2.9407499482160895,0.00327418725297657,0.0286758734045363
114,APOO_361,152.603903104059,-0.666083086883514,0.18947285129046698,-3.5154539679269905,0.000439002857172915,0.00636578668200011
117,APPBP2_370,302.719693732684,0.67337132008321,0.20729645455370602,3.24834943044698,0.00116076624945303,0.0132144073556153
138,ARL6IP5_445,314.714473208512,0.478960330516206,0.14628179453201298,3.2742306180239504,0.00105950104246607,0.0123420981491981
141,ARPC5L_463,764.3294749790849,-0.719711042546068,0.196334784841621,-3.66573372684134,0.000246630441511618,0.00403627978554575
157,ATP10D_516,856.986741782724,1.01339499629921,0.21773071556891102,4.65435018504991,3.25004041870865e-06,0.00012085680387965801
168,PTCD1_550,7.827589581405469,-5.4099836039004305,1.81039219755438,-2.98829370299356,0.00280539820185696,0.0254720746914314
177,AURKA_586,234.29946749476397,-1.14134176800152,0.17829880966418804,-6.401286526540179,1.54073121576504e-10,2.4091096046022597e-08
178,AURKB_587,624.719948930103,-0.971010607458489,0.214529263603496,-4.52623847743757,6.00428213229582e-06,0.000201630163951386
186,B4GALT7_611,431.376631067213,1.0826451725914201,0.270717394222948,3.9991710754271503,6.35647222006233e-05,0.00139113484775664
203,BCL2L11_663,39.9949475724995,0.940103703293576,0.298891990801677,3.14529573299058,0.0016591901561691699,0.017267818642152
216,BLM_716,486.45988163137605,-0.9474657337472541,0.171569896143203,-5.52233086949262,3.34531762888347e-08,2.59973246632633e-06
234,BUB1B_800,57.9324102906577,-2.47678280465248,0.49259761649156103,-5.028004037642179,4.956114433269001e-07,2.49420932319964e-05
242,TIGAR_823,135.349524144107,-1.8467436127181203,0.308692980817727,-5.9824606566242595,2.1979161132768198e-09,2.52429693080589e-07
262,C2CD5_880,172.517158142132,0.910173948048664,0.33325944053925,2.7311272760222596,0.0063118090803592295,0.0457879587730029
301,CBR3_1007,116.519021604863,-0.874416975286992,0.28747074923277804,-3.04175982294093,0.00235199480667575,0.0224442563242925
303,CBX6_1013,444.891067215663,0.726894449869637,0.208951499981683,3.47877114992406,0.000503718553901527,0.00703687770993974
316,CCNB1_1053,465.25277745640295,-1.22213626751447,0.29819977220113897,-4.09838095614012,4.16050122259501e-05,0.0010111420387048302
317,CCNB1IP1_1054,285.57586917248796,1.43284899585926,0.22740465455887898,6.30087804771942,2.95964196155694e-10,4.22090476671275e-08
322,CCNDBP1_1069,297.46533352994203,0.847008797826038,0.18468642932251603,4.586199435080929,4.51387444092963e-06,0.000159465703188196
324,CCNE2_1073,218.649281885952,-1.4734323642238603,0.195923773700263,-7.520436833143151,5.45935251149946e-14,1.9680965803955502e-11
